year,month,housing_units,time_c,housing_units_pred,deviations,detrend_deseas_data
1996.0,7.0,56.3,66.5,53.31145930199458,2.9885406980054157,56.38854069800543
1996.0,8.0,61.4,67.5,57.2536388142181,4.146361185781899,57.54636118578191
1996.0,9.0,51.3,68.5,54.69799223948511,-3.397992239485113,50.0020077605149
1996.0,10.0,59.7,69.5,56.433650012578184,3.266349987421819,56.66634998742183
1996.0,11.0,52.3,70.5,51.28017735088867,1.019822649111326,54.41982264911134
1996.0,12.0,64.7,71.5,58.33974816746002,6.36025183253998,59.76025183253999
1997.0,1.0,41.6,72.5,44.60149289707484,-3.00149289707484,50.39850710292517
1997.0,2.0,49.0,73.5,43.75454197451575,5.245458025484247,58.64545802548426
1997.0,3.0,51.9,74.5,48.88585192152188,3.014148078478115,56.41414807847813
1997.0,4.0,52.8,75.5,48.96498795548454,3.8350120445154587,57.23501204451547
1997.0,5.0,49.0,76.5,51.55064572857762,-2.5506457285776207,50.84935427142239
1997.0,6.0,50.4,77.5,55.57760784949679,-5.177607849496795,48.22239215050322
1997.0,7.0,49.7,78.5,53.087178666068134,-3.387178666068131,50.01282133393188
1997.0,8.0,52.6,79.5,57.02935817829165,-4.4293581782916505,48.97064182170836
1997.0,9.0,60.7,80.5,54.47371160355866,6.2262883964413405,59.62628839644135
1997.0,10.0,57.3,81.5,56.209369376651736,1.090630623348261,54.490630623348274
1997.0,11.0,55.0,82.5,51.05589671496222,3.9441032850377766,57.34410328503779
1997.0,12.0,64.0,83.5,58.115467531533575,5.884532468466425,59.28453246846644
1998.0,1.0,40.7,84.5,44.377212261148394,-3.677212261148391,49.72278773885162
1998.0,2.0,45.7,85.5,43.530261338589305,2.1697386614106975,55.56973866141071
1998.0,3.0,50.6,86.5,48.661571285595436,1.9384287144045658,55.33842871440458
1998.0,4.0,56.6,87.5,48.74070731955809,7.859292680441911,61.25929268044192
1998.0,5.0,54.5,88.5,51.32636509265117,3.173634907348827,56.57363490734884
1998.0,6.0,59.0,89.5,55.353327213570346,3.6466727864296544,57.04667278642967
1998.0,7.0,60.0,90.5,52.86289803014169,7.137101969858307,60.53710196985832
1998.0,8.0,64.5,91.5,56.805077542365204,7.694922457634796,61.09492245763481
1998.0,9.0,59.2,92.5,54.249430967632215,4.950569032367788,58.3505690323678
1998.0,10.0,58.5,93.5,55.985088740725296,2.5149112592747045,55.91491125927472
1998.0,11.0,61.7,94.5,50.83161607903578,10.86838392096422,64.26838392096423
1998.0,12.0,60.6,95.5,57.89118689560713,2.708813104392874,56.10881310439289
1999.0,1.0,57.1,96.5,44.152931625221946,12.947068374778055,66.34706837477808
1999.0,2.0,50.8,97.5,43.30598070266287,7.494019297337125,60.89401929733714
1999.0,3.0,57.4,98.5,48.43729064966899,8.96270935033101,62.36270935033102
1999.0,4.0,54.1,99.5,48.51642668363164,5.5835733163683585,58.98357331636837
1999.0,5.0,60.4,100.5,51.10208445672473,9.297915543275266,62.69791554327528
1999.0,6.0,62.3,101.5,55.1290465776439,7.170953422356099,60.57095342235611
1999.0,7.0,62.3,102.5,52.638617394215245,9.661382605784752,63.061382605784765
1999.0,8.0,67.7,103.5,56.58079690643876,11.11920309356124,64.51920309356126
1999.0,9.0,63.3,104.5,54.02515033170577,9.27484966829423,62.67484966829424
1999.0,10.0,65.9,105.5,55.76080810479885,10.139191895201158,63.53919189520117
1999.0,11.0,62.5,106.5,50.607335443109335,11.892664556890665,65.29266455689068
1999.0,12.0,69.0,107.5,57.66690625968069,11.333093740319313,64.73309374031933
2000.0,1.0,52.2,108.5,43.9286509892955,8.271349010704505,61.67134901070452
2000.0,2.0,56.0,109.5,43.081700066736424,12.918299933263576,66.31829993326359
2000.0,3.0,57.8,110.5,48.213010013742554,9.586989986257443,62.986989986257456
2000.0,4.0,56.9,111.5,48.292146047705195,8.607853952294803,62.007853952294816
2000.0,5.0,64.0,112.5,50.877803820798285,13.122196179201715,66.52219617920173
2000.0,6.0,63.1,113.5,54.90476594171746,8.195234058282544,61.59523405828256
2000.0,7.0,61.2,114.5,52.4143367582888,8.785663241711205,62.18566324171122
2000.0,8.0,65.0,115.5,56.356516270512316,8.643483729487684,62.0434837294877
2000.0,9.0,58.6,116.5,53.800869695779326,4.799130304220675,58.19913030422069
2000.0,10.0,64.8,117.5,55.53652746887241,9.26347253112759,62.6634725311276
2000.0,11.0,63.2,118.5,50.38305480718289,12.816945192817116,66.21694519281712
2000.0,12.0,66.6,119.5,57.44262562375424,9.157374376245755,62.55737437624577
2001.0,1.0,44.1,120.5,43.704370353369065,0.3956296466309368,53.79562964663095
2001.0,2.0,52.5,121.5,42.857419430809976,9.642580569190024,63.04258056919004
2001.0,3.0,55.8,122.5,47.98872937781611,7.811270622183891,61.2112706221839
2001.0,4.0,54.9,123.5,48.06786541177876,6.832134588221237,60.23213458822125
2001.0,5.0,56.8,124.5,50.65352318487184,6.14647681512816,59.54647681512817
2001.0,6.0,68.2,125.5,54.68048530579101,13.519514694208993,66.919514694209
2001.0,7.0,62.6,126.5,52.19005612236236,10.409943877637645,63.80994387763766
2001.0,8.0,69.5,127.5,56.13223563458587,13.367764365414132,66.76776436541414
